ticker,date,close_price,prev_close,price_change,price_change_percent,ma10,ma_distance_percent,ma_distance_points,ma_status,condition_1_trend_breakdown,last_ma10_break_below,last_ma10_break_above,days_below_ma10,trend_direction,trend_detail,current_position,rvol,rvol_strength,rvol_direction,rvol_change,condition_2_volume_confirmation,signal,signal_category,reasoning
000990 KS,N/A,72100.0,73800.0,-1700.0,-2.303523035230352,70910.0,1.678183613030602,1190.0,10일선 위 (근접),False,2025-12-15,2025-12-22,0,상승세,10일선 아래(2025-12-15) → 10일선 위(2025-12-22),above,0.6728209621262354,매우 약함 (1.5배 미만),하락,-0.5131113609370953,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
007340 KS,N/A,23350.0,23850.0,-500.0,-2.0964360587002098,24270.0,-3.7906880922950146,-920.0,10일선 아래 (근접),True,2025-12-17,2025-11-24,14,하락세,10일선 위(2025-11-24) → 10일선 아래(2025-12-17),below,0.6793663934064497,매우 약함 (1.5배 미만),하락,-0.54605017293742,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
418660 KS,N/A,34975.0,35020.0,-45.0,-0.12849800114220444,34855.255,0.3435493442810923,119.74500000000262,10일선 근처,False,2025-12-24,2026-01-07,0,상승세,10일선 아래(2025-12-24) → 10일선 위(2026-01-07),above,0.6007593101961681,매우 약함 (1.5배 미만),하락,-0.21001700942368495,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
012630 KS,N/A,16030.0,16970.0,-940.0,-5.53918680023571,17592.0,-8.879035925420647,-1562.0,10일선 아래 (멀리),True,2026-01-02,2025-12-30,5,하락세,10일선 위(2025-12-30) → 10일선 아래(2026-01-02),below,1.4063289348717845,매우 약함 (1.5배 미만),상승,0.3107040180013674,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
009540 KS,N/A,425500.0,416000.0,9500.0,2.283653846153846,412050.0,3.264166970027909,13450.0,10일선 위 (근접),False,2025-12-24,2026-01-06,0,상승세,10일선 아래(2025-12-24) → 10일선 위(2026-01-06),above,1.0154048506189086,매우 약함 (1.5배 미만),하락,-0.32401996411769907,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
443060 KS,N/A,184900.0,191100.0,-6200.0,-3.2443746729461016,192210.0,-3.803131991051454,-7310.0,10일선 아래 (근접),True,2026-01-05,2025-12-29,4,하락세,10일선 위(2025-12-29) → 10일선 아래(2026-01-05),below,3.3856133034277778,매우 강함 (3배 이상),상승,2.027614750371477,True,SELL,강력 매도 (10일선 하회 + 거래량 폭증),10일선 하회 + 거래량 폭증 확인
071970 KS,N/A,96200.0,90600.0,5600.0,6.181015452538632,91730.0,4.8729968385479125,4470.0,10일선 위 (근접),False,2026-01-07,2026-01-08,0,상승세,10일선 아래(2026-01-07) → 10일선 위(2026-01-08),above,1.152039928833332,매우 약함 (1.5배 미만),상승,0.36594539668323767,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
267260 KS,N/A,860000.0,818000.0,42000.0,5.134474327628362,810400.0,6.1204343534057255,49600.0,10일선 위 (멀리),False,2025-12-16,2026-01-02,0,상승세,10일선 아래(2025-12-16) → 10일선 위(2026-01-02),above,1.1271523848749576,매우 약함 (1.5배 미만),하락,-0.33010083763004916,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
097230 KS,N/A,24750.0,24650.0,100.0,0.4056795131845842,22360.0,10.688729874776387,2390.0,10일선 위 (멀리),False,2025-12-24,2026-01-06,0,상승세,10일선 아래(2025-12-24) → 10일선 위(2026-01-06),above,1.3485307442880998,매우 약함 (1.5배 미만),하락,-2.09297592423329,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
204320 KS,N/A,56100.0,59100.0,-3000.0,-5.0761421319796955,57450.0,-2.3498694516971277,-1350.0,10일선 아래 (근접),True,2026-01-08,2026-01-07,1,하락세,10일선 위(2026-01-07) → 10일선 아래(2026-01-08),below,0.8257049341058387,매우 약함 (1.5배 미만),하락,-0.6861594451166286,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
132030 KS,N/A,25550.0,25705.0,-155.0,-0.6029955261622253,25719.714480000002,-0.6598614464867977,-169.71448000000237,10일선 근처,True,2026-01-07,2026-01-06,2,하락세,10일선 위(2026-01-06) → 10일선 아래(2026-01-07),below,0.6484360335336655,매우 약함 (1.5배 미만),하락,-0.13075402212533516,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
122630 KS,N/A,57375.0,57195.0,180.0,0.3147128245476003,50525.5,13.55652096466141,6849.5,10일선 위 (멀리),False,2025-12-15,2025-12-22,0,상승세,10일선 아래(2025-12-15) → 10일선 위(2025-12-22),above,1.1283120802077253,매우 약함 (1.5배 미만),하락,-0.4228190513372485,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
390390 KS,N/A,37895.0,38225.0,-330.0,-0.8633093525179856,36708.0,3.233627547128691,1187.0,10일선 위 (근접),False,2025-12-15,2025-12-22,0,상승세,10일선 아래(2025-12-15) → 10일선 위(2025-12-22),above,1.2233725133301727,매우 약함 (1.5배 미만),하락,-0.22942166954964605,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
144600 KS,N/A,12835.0,13380.0,-545.0,-4.073243647234678,12734.97032,0.7854724234645851,100.02967999999964,10일선 근처,False,2025-11-21,2025-11-25,0,상승세,10일선 아래(2025-11-21) → 10일선 위(2025-11-25),above,1.29123178804019,매우 약함 (1.5배 미만),하락,-0.328744696337921,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
091180 KS,N/A,25710.0,26295.0,-585.0,-2.2247575584711923,24971.5,2.957371403399876,738.5,10일선 위 (근접),False,2025-12-23,2025-12-29,0,상승세,10일선 아래(2025-12-23) → 10일선 위(2025-12-29),above,1.4820975650645636,매우 약함 (1.5배 미만),하락,-2.738483636534882,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
233740 KS,N/A,12095.0,12115.0,-20.0,-0.16508460586050352,11798.0,2.5173758264112562,297.0,10일선 위 (근접),False,2025-12-11,2025-12-29,0,상승세,10일선 아래(2025-12-11) → 10일선 위(2025-12-29),above,1.093312946898973,매우 약함 (1.5배 미만),하락,-0.297161678963626,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
079550 KS,N/A,530000.0,491500.0,38500.0,7.8331637843336726,450100.0,17.751610753165963,79900.0,10일선 위 (멀리),False,2025-12-16,2025-12-17,0,상승세,10일선 아래(2025-12-16) → 10일선 위(2025-12-17),above,1.85807491879513,약함 (1.5~2배),상승,0.6517826519690326,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
006260 KS,N/A,201000.0,207000.0,-6000.0,-2.898550724637681,202000.0,-0.49504950495049505,-1000.0,10일선 근처,True,2026-01-08,2025-12-24,1,하락세,10일선 위(2025-12-24) → 10일선 아래(2026-01-08),below,0.7113330978928073,매우 약함 (1.5배 미만),하락,-0.2617290431510929,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
417200 KQ,N/A,12550.0,12790.0,-240.0,-1.8764659890539486,12904.0,-2.7433353998760075,-354.0,10일선 아래 (근접),True,2026-01-07,2026-01-05,2,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-07),below,0.4327244980997296,매우 약함 (1.5배 미만),하락,-0.15115959251187588,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
449450 KS,N/A,60565.0,57345.0,3220.0,5.615136454791176,54333.0,11.470009018460237,6232.0,10일선 위 (멀리),False,2025-12-16,2025-12-22,0,상승세,10일선 아래(2025-12-16) → 10일선 위(2025-12-22),above,2.542080259520913,강함 (2.5~3배),상승,1.2028390586152973,True,HOLD,거래량 폭증만 (10일선 위),10일선 위
475260 KS,N/A,10560.0,10560.0,0.0,0.0,10554.5,0.05211047420531526,5.5,10일선 근처,False,2025-11-24,2025-11-25,0,상승세,10일선 아래(2025-11-24) → 10일선 위(2025-11-25),above,0.04107443633462368,매우 약함 (1.5배 미만),하락,-0.49934862944341163,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
454320 KS,N/A,33290.0,33565.0,-275.0,-0.8193058245195889,32814.5,1.449054533818891,475.5,10일선 위 (근접),False,2025-12-16,2026-01-02,0,상승세,10일선 아래(2025-12-16) → 10일선 위(2026-01-02),above,0.3605146933627073,매우 약함 (1.5배 미만),상승,0.0016328241394292231,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
000660 KS,N/A,762000.0,741000.0,21000.0,2.834008097165992,665300.0,14.534796332481587,96700.0,10일선 위 (멀리),False,2025-12-15,2025-12-22,0,상승세,10일선 아래(2025-12-15) → 10일선 위(2025-12-22),above,1.2830213224086133,매우 약함 (1.5배 미만),하락,-0.29010516696261535,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
100840 KS,N/A,37000.0,38700.0,-1700.0,-4.3927648578811365,37725.0,-1.9218025182239893,-725.0,10일선 아래 (근접),True,2026-01-08,2026-01-05,1,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-08),below,0.8855187789213262,매우 약함 (1.5배 미만),하락,-0.31563980867515695,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
455850 KS,N/A,18440.0,18605.0,-165.0,-0.8868583714055361,17596.5,4.7935669025090215,843.5,10일선 위 (근접),False,2025-12-24,2025-12-26,0,상승세,10일선 아래(2025-12-24) → 10일선 위(2025-12-26),above,1.1728110740207638,매우 약함 (1.5배 미만),하락,-0.7770091671356474,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
077970 KS,N/A,34600.0,33050.0,1550.0,4.689863842662632,34665.0,-0.18750901485648347,-65.0,10일선 근처,True,2025-12-24,2025-12-19,9,하락세,10일선 위(2025-12-19) → 10일선 아래(2025-12-24),below,1.459343095569937,매우 약함 (1.5배 미만),상승,0.5376387651269362,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
396500 KS,N/A,23695.0,23650.0,45.0,0.19027484143763213,21275.0,11.37485311398355,2420.0,10일선 위 (멀리),False,2025-12-15,2025-12-22,0,상승세,10일선 아래(2025-12-15) → 10일선 위(2025-12-22),above,1.3059548493012887,매우 약함 (1.5배 미만),하락,-0.4659081420474125,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
453870 KS,N/A,13990.0,14020.0,-30.0,-0.21398002853067047,14059.0,-0.49078881855039475,-69.0,10일선 근처,True,2025-12-26,2025-12-18,8,하락세,10일선 위(2025-12-18) → 10일선 아래(2025-12-26),below,0.8422240667260508,매우 약함 (1.5배 미만),하락,-0.42904465490225085,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
292150 KS,N/A,23985.0,23910.0,75.0,0.3136762860727729,21831.0,9.866703311804315,2154.0,10일선 위 (멀리),False,2025-12-15,2025-12-22,0,상승세,10일선 아래(2025-12-15) → 10일선 위(2025-12-22),above,1.5198498347481626,약함 (1.5~2배),상승,0.0685984319912254,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
138540 KS,N/A,45490.0,46320.0,-830.0,-1.7918825561312608,43086.5,5.578313392826059,2403.5,10일선 위 (멀리),False,2025-12-16,2025-12-29,0,상승세,10일선 아래(2025-12-16) → 10일선 위(2025-12-29),above,2.697772785863681,강함 (2.5~3배),하락,-1.8142506215900016,True,HOLD,거래량 폭증만 (10일선 위),10일선 위
204620 KQ,N/A,4325.0,4240.0,85.0,2.0047169811320753,4461.0,-3.048643801838153,-136.0,10일선 아래 (근접),True,2025-12-23,2025-12-16,10,하락세,10일선 위(2025-12-16) → 10일선 아래(2025-12-23),below,0.2780608353703503,매우 약함 (1.5배 미만),하락,-0.2636066997162886,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
002990 KS,N/A,4145.0,4250.0,-105.0,-2.4705882352941173,4181.5,-0.8728925026904221,-36.5,10일선 근처,True,2026-01-08,2026-01-05,1,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-08),below,0.5598174061553384,매우 약함 (1.5배 미만),하락,-0.2981236724716432,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
092790 KS,N/A,9120.0,9380.0,-260.0,-2.771855010660981,9444.0,-3.430749682337993,-324.0,10일선 아래 (근접),True,2026-01-07,2026-01-05,2,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-07),below,0.615255584668691,매우 약함 (1.5배 미만),하락,-0.32955686557368047,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
004370 KS,N/A,404000.0,414000.0,-10000.0,-2.4154589371980677,427450.0,-5.4860217569306355,-23450.0,10일선 아래 (멀리),True,2025-12-30,2025-12-29,6,하락세,10일선 위(2025-12-29) → 10일선 아래(2025-12-30),below,1.5424436971364517,약함 (1.5~2배),상승,0.004377363624344488,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
010170 KS,N/A,2960.0,2755.0,205.0,7.441016333938294,2516.7,17.614336233957175,443.3000000000002,10일선 위 (멀리),False,2025-12-30,2026-01-02,0,상승세,10일선 아래(2025-12-30) → 10일선 위(2026-01-02),above,0.8261377313422084,매우 약함 (1.5배 미만),하락,-0.5691800185446115,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
034020 KS,N/A,83600.0,83800.0,-200.0,-0.23866348448687352,79250.0,5.488958990536277,4350.0,10일선 위 (멀리),False,2025-12-24,2026-01-05,0,상승세,10일선 아래(2025-12-24) → 10일선 위(2026-01-05),above,0.6757051745777523,매우 약함 (1.5배 미만),하락,-0.5935049813272615,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
003160 KS,N/A,28600.0,27200.0,1400.0,5.147058823529411,24050.0,18.91891891891892,4550.0,10일선 위 (멀리),False,2025-12-10,2025-12-22,0,상승세,10일선 아래(2025-12-10) → 10일선 위(2025-12-22),above,2.485014817211158,보통 (2~2.5배),상승,0.35258928497602415,True,HOLD,거래량 폭증만 (10일선 위),10일선 위
347850 KQ,N/A,108000.0,98900.0,9100.0,9.201213346814964,94910.0,13.792013486460858,13090.0,10일선 위 (멀리),False,2025-12-30,2026-01-05,0,상승세,10일선 아래(2025-12-30) → 10일선 위(2026-01-05),above,1.331219437657765,매우 약함 (1.5배 미만),상승,0.47512085978685603,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
277810 KQ,N/A,447000.0,466000.0,-19000.0,-4.07725321888412,474700.0,-5.83526437750158,-27700.0,10일선 아래 (멀리),True,2026-01-06,2025-12-22,3,하락세,10일선 위(2025-12-22) → 10일선 아래(2026-01-06),below,0.7863575021949193,매우 약함 (1.5배 미만),하락,-0.2906154599111733,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
032350 KS,N/A,21050.0,20950.0,100.0,0.47732696897374705,22090.0,-4.7080126754187415,-1040.0,10일선 아래 (근접),True,2026-01-02,2025-12-30,5,하락세,10일선 위(2025-12-30) → 10일선 아래(2026-01-02),below,0.9051312645310247,매우 약함 (1.5배 미만),상승,0.03911214784871375,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
011170 KS,N/A,69000.0,70300.0,-1300.0,-1.849217638691323,70910.0,-2.69355521083063,-1910.0,10일선 아래 (근접),True,2025-12-26,2025-12-23,8,하락세,10일선 위(2025-12-23) → 10일선 아래(2025-12-26),below,1.290524434231903,매우 약함 (1.5배 미만),상승,0.3052789391357852,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
141080 KQ,N/A,184700.0,178900.0,5800.0,3.242034656232532,175680.0,5.134335154826958,9020.0,10일선 위 (멀리),False,2026-01-02,2026-01-05,0,상승세,10일선 아래(2026-01-02) → 10일선 위(2026-01-05),above,1.2717715904883922,매우 약함 (1.5배 미만),상승,0.2419279559778984,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
305090 KQ,N/A,10770.0,10930.0,-160.0,-1.463860933211345,10874.0,-0.9564097848077984,-104.0,10일선 근처,True,2026-01-08,2025-12-16,1,하락세,10일선 위(2025-12-16) → 10일선 아래(2026-01-08),below,0.6780065553884596,매우 약함 (1.5배 미만),하락,-0.001129725920077096,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
098120 KQ,N/A,16780.0,17340.0,-560.0,-3.229527104959631,17456.0,-3.8725939505041245,-676.0,10일선 아래 (근접),True,2026-01-07,2026-01-05,2,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-07),below,0.7829013895627065,매우 약함 (1.5배 미만),하락,-0.3890480636954464,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
